sample,tp,fp,tn-remove_depth,tn-remove_region,tn-review,fn-remove_depth,fn-remove_region,fn-review
DS-158649-0,412,1,42,6,4,37,34,46
DS-158649-1,441,4,12,14,4,2,37,49
DS-158649-2,441,11,15,11,6,3,37,48
DS-158669-0,542,13,12,17,7,2,59,58
DS-158669-1,541,9,10,22,7,3,58,59
DS-158669-2,520,7,36,10,5,31,57,53
DS-159807-0,521,0,12,29,5,2,51,68
DS-159807-1,521,0,20,19,4,3,52,66
DS-159807-2,521,1,25,34,6,3,51,67
DS-159807-3,521,0,16,16,5,3,51,67
DS-159807-4,521,0,23,28,6,2,52,67
DS-159807-5,521,0,18,13,5,0,53,68
DS-159807-6,521,1,12,24,8,3,52,66
DS-159813-0,540,1,11,17,4,3,59,69
DS-159813-1,540,1,18,24,4,3,58,70
DS-159813-2,540,0,21,33,3,5,55,71
DS-159813-3,540,0,15,21,2,2,58,71
DS-159813-4,540,0,16,24,3,4,56,71
DS-159813-5,540,0,17,22,4,5,56,70
DS-159813-6,540,0,10,24,3,3,57,71
DS-159815-0,525,1,21,21,2,4,54,52
DS-159815-1,524,0,11,12,3,4,54,53
DS-159815-2,525,3,23,19,2,4,53,53
DS-159815-3,525,0,15,15,1,3,53,54
DS-159815-4,525,1,11,12,3,2,54,54
DS-159822-0,513,3,20,19,6,2,38,61
DS-159822-1,513,0,20,19,5,3,37,61
DS-159822-2,513,0,20,19,5,3,38,60
DS-159822-3,514,0,16,19,7,1,38,61
DS-159822-4,513,5,19,26,7,3,37,61
DS-159822-5,513,4,22,25,4,4,37,60
DS-159826-0,531,1,9,19,10,3,49,58
DS-159826-1,531,1,7,18,9,4,48,58
DS-159826-2,531,0,13,18,6,3,50,57
DS-159826-3,531,1,15,18,7,3,50,57
DS-159826-4,531,1,19,17,7,1,51,58
DS-159826-5,531,2,16,17,7,0,52,58
DS-159826-6,531,1,12,13,6,1,51,58
DS-159829-0,556,5,26,18,5,3,65,56
DS-159829-1,555,3,22,21,4,2,67,56
DS-159829-2,556,3,24,21,5,2,66,56
DS-159829-3,556,4,14,17,4,5,64,55
DS-159829-4,556,0,10,14,5,2,66,56
DS-159829-5,556,1,10,11,7,6,64,54
DS-159829-6,555,3,11,18,6,4,66,55
